,name,atqui,autem,avtem,certe,ceu,confestim,cum,cvm,dehinc,deinceps,demum,denique,eciam,enim,ergo,etiam,exinde,forsan,forsitan,fortassis,ideo,igitur,igitvr,itaque,itaqve,iterum,itervm,mox,multotiens,multoties,nam,namque,nempe,nimirum,praecipue,precipue,puta,pvta,quando,quemadmodum,quia,quippe,quod,quoniam,quoque,qvando,qvia,qvod,qvoniam,rursum,rursus,rvrsvm,sane,scilicet,sepe,sicut,sicvt,siquidem,siqvidem,tamquam,tamqvam,tanquam,uelut,ueluti,uero,uidelicet,ut,utique,velut,veluti,velvt,vero,videlicet,vt,vtiqve
0,BurCom,0.0,0.026784670316286754,0.0,0.013296965271340338,0.007249612049487924,0.013761536580908982,0.019224952927696767,0.0,0.008789085995082534,0.021087397584122577,0.008789085995082534,0.0325903720915704,0.0,0.023806453791245862,0.009941817828765392,0.009145084331139676,0.0,0.0,0.015941928638522226,0.0,0.01130746767394683,0.021331790340364507,0.0,0.01162068651286361,0.0,0.0,0.0,0.012756846298507877,0.020167187526429254,0.0,0.0,0.0,0.019888031873911062,0.02695584991560387,0.0,0.0,0.023342216530535066,0.0,0.01616815420161308,0.02054712038077416,0.018040614484926203,0.01891741253237287,0.021650710252899507,0.02054712038077416,0.0,0.0,0.0,0.0,0.0,0.0,0.027026105945515872,0.0,0.0,0.01966787272453604,0.0061932157077955845,0.014638665418231058,0.0,0.01934692493039177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021807697850346974,0.02482486269885677,0.025435295565910954,0.0,0.0,0.02337327804638928,0.0069532488711236875,0.0,0.0
1,AristPha,0.03456315270486191,0.02013684351101377,0.0,0.02464538212863531,0.02355051950261814,0.0056725015427587545,0.018388418108253805,0.0,0.01814293873774545,0.01730102417930113,0.020630009953626308,0.0,0.06607356689217153,0.020164118643572326,0.022981216367135914,0.0,0.009161654039071031,0.018620818377602242,0.017147291169668222,0.014353297756749296,0.005299865546313121,0.02013684351101377,0.0,0.019954373279791587,0.0,0.01982739546746577,0.0,0.008141843973559649,0.0,0.0,0.021717072448047832,0.026256989830717423,0.03425102180466192,0.018620818377602242,0.0,0.025468004571313027,0.0,0.0,0.015903479423519794,0.01810945206694432,0.015068420973632687,0.03325555478701369,0.0202036000209365,0.022784695892216773,0.04189906948523836,0.0,0.0,0.0,0.0,0.01752400510448982,0.011502505241469514,0.0,0.03613481155277909,0.01639542876475054,0.01031436811534706,0.0038831805905200378,0.0,0.019582399475890674,0.0,0.021917563311980092,0.0,0.0,0.0,0.0,0.0,0.0,0.018113973565621798,0.02210053163016953,0.02585972129478028,0.020630009953626308,0.0,0.025049471420759042,0.011580150254433583,0.0,0.0
2,BurInt,0.0,0.015324559564388931,0.0,0.003073868262102374,0.011164762675734576,0.01575121101660338,0.013378365853161609,0.0,0.004848422356389087,0.014363536159491182,0.03199193654289639,0.02717623244111024,0.0,0.013566776587688104,0.00729572269826974,0.007975536247368882,0.0,0.0,0.0,0.016881667851842547,0.0029722810636670367,0.013424107429103846,0.0,0.01055332540812777,0.0,0.0,0.0,0.010337513213662669,0.01568840236609155,0.0,0.01988460337563415,0.0036853061942091403,0.0,0.02296860291060449,0.0,0.00820909264288399,0.011563278306619811,0.0,0.010507570857870968,0.014113360525776227,0.01097690324771859,0.015329729421023609,0.013140992465900841,0.01277815815326854,0.011419490819081498,0.0,0.0,0.0,0.0,0.0,0.016385972028437126,0.0,0.004178263848969421,0.010252458575390146,0.00578452429878414,0.01149138104941942,0.0,0.0058430270672864895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013093542836152081,0.013534719343141696,0.011991317830092321,0.004848422356389087,0.0,0.019044538813530083,0.014703052116960252,0.0,0.0
3,AnonMetaph,0.020546889168405115,0.022552598456302503,0.0,0.007975908487035513,0.006128747058426834,0.0,0.015738649374344285,0.0,0.0,0.011911978042373863,0.0,0.0,0.0,0.0232279157504691,0.026274803928621273,0.01578180532876491,0.0,0.032942788930037575,0.0,0.005878204692128193,0.01718420862169756,0.01788254008856327,0.0,0.012036906623645783,0.0,0.017040835781749846,0.0,0.0,0.012569713615068827,0.0,0.03553402637930587,0.03519160696169303,0.0,0.0,0.0,0.0,0.004555017757540057,0.0,0.018094278868494965,0.017701972260154488,0.021993429680732642,0.0,0.020379510091826588,0.01965865709378332,0.027436831606015476,0.0,0.0,0.0,0.0,0.01124111693652451,0.004710700037546516,0.0,0.0,0.010517169498073145,0.01098766346905501,0.01863946570112084,0.0,0.0,0.0,0.021002812970653977,0.0,0.0,0.0,0.0,0.0,0.0,0.022212342862073155,0.0,0.016677549282080015,0.02524704965281963,0.0,0.029853033664540767,0.0,0.0,0.0
4,BurEthN,0.0,0.05006464658025382,0.0,0.012378456524535673,0.0,0.0,0.02228977450644734,0.0,0.0,0.0,0.0,0.0,0.0,0.04455982134989394,0.010523775275084319,0.0,0.0,0.0,0.05503011585328103,0.0,0.03123331544210298,0.03429511371190867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03526067453496497,0.0,0.008513373276999924,0.03699905216740397,0.027778882197091175,0.0,0.03879367106412105,0.0336168368951593,0.0,0.0,0.0,0.0,0.0,0.0,0.03230081375254064,0.0,0.0,0.0,0.0,0.00876988413579578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285447103508085,0.0460286951600483,0.0,0.0,0.0,0.040472196971805145,0.0,0.0,0.0
5,AristMet,0.033608038171683195,0.0298611480336066,0.0,0.02822388455699166,0.04702437150371086,0.0,0.024467579285187703,0.0,0.01511167082073459,0.014693066287519634,0.0,0.0,0.0,0.0313897084471499,0.02838530136689459,0.019411181360483615,0.0,0.023094391464717538,0.0,0.0,0.03059538555961082,0.02747348556045457,0.0,0.028392209683841027,0.0,0.012964276956599147,0.0,0.0,0.014693066287519634,0.0,0.0379610610038577,0.04179982987727477,0.05313518151018619,0.048625622721045605,0.0,0.02558628284367677,0.0,0.0,0.01839545221343943,0.03199446127830982,0.017766901420043293,0.04116589423597887,0.02864754879975889,0.032626334069055,0.062134581445711476,0.0,0.0,0.0,0.0,0.016221537027340797,0.0,0.0,0.058156858231096745,0.008963687307468934,0.0,0.01894971350231719,0.0,0.030936493780481706,0.0,0.015685437116606315,0.0,0.0,0.060187803019220415,0.04218815010964309,0.06948577825419976,0.0,0.02876586018662431,0.028070624079952068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BarMirab,0.0,0.035778683081743215,0.0,0.0083707085105509,0.0,0.024185474440455067,0.018972628667950166,0.0,0.0,0.0,0.0,0.022354868781101083,0.0,0.021312008152351736,0.0,0.009747474571217525,0.03651092590410272,0.0,0.0,0.0,0.0,0.014710760413306954,0.0,0.0,0.0,0.022731521540726305,0.0,0.0,0.007581980351906957,0.0,0.0,0.010035766432863802,0.0,0.0,0.0,0.0,0.0,0.0,0.02839259663696859,0.0,0.014710760413306954,0.0,0.028830683227114337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007831620356014724,0.0,0.023696595782746497,0.0,0.0,0.0,0.00809406788902859,0.0,0.0,0.0,0.0,0.04844104067826824,0.0,0.022686961660910984,0.015475209848363031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,WilMet,0.0,0.02738253843809525,0.0,0.0052901919618125424,0.0,0.00547502145917657,0.018846644372635463,0.0,0.0,0.004791724793871607,0.0,0.0,0.0,0.024811329243116024,0.007615022886907093,0.012679372491190636,0.0,0.0,0.006342489509322329,0.0,0.0,0.021184181050630697,0.0,0.01831625493167035,0.0,0.02132166485635401,0.0,0.012111173751912015,0.008113095324762898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021154534478555986,0.0,0.01756837386051436,0.01728168886343288,0.01946213349555998,0.0,0.022796270986970717,0.018901321729034665,0.0,0.0,0.0,0.0,0.0,0.0052901919618125424,0.0,0.0,0.0,0.008380222520587285,0.026784323653829056,0.021596588576232405,0.0,0.012503708343079047,0.0,0.021154534478555986,0.0,0.0,0.041276902508006925,0.0,0.02300497866875898,0.0,0.019685069882217434,0.02061324910385164,0.009601938252509452,0.0,0.0,0.0,0.0,0.014971999460536777,0.0
8,JamPhys,0.0,0.0308123656255609,0.0,0.0,0.0,0.0,0.02324392735137743,0.0,0.0,0.0,0.0,0.0,0.0,0.029243561122089253,0.026922098069865577,0.017960718066211467,0.0,0.0,0.01171176665648216,0.028767028849096626,0.0,0.025621041641202033,0.0,0.01864931652848827,0.0,0.024134495592759694,0.0,0.01804515318987251,0.019715113006893464,0.0,0.0,0.03739913158649819,0.0,0.0,0.0,0.0,0.0,0.0,0.017329545158310124,0.017708251570364875,0.021282272091711848,0.0,0.028688694504222265,0.02633392612729638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016458194674535336,0.005397949043877098,0.0,0.028101859601691946,0.0,0.0,0.0,0.02681560655920306,0.0,0.0,0.0,0.0,0.0,0.0,0.0235342964070562,0.024541637254411445,0.0,0.0,0.0,0.029804766118861032,0.007199438520817083,0.0,0.0
9,WilInPar,0.0,0.01411519133334717,0.02797206354777477,0.0,0.0,0.004245077999534987,0.009871641120397968,0.014952873648468853,0.0038211295538518085,0.010176278761515474,0.0,0.0,0.0,0.01343460094722489,0.014495157392503278,0.00986352286921528,0.0,0.0,0.00609532835641677,0.0,0.0,0.012047122957802699,0.029102744257930444,0.011517528781826467,0.0206560910735342,0.012563379326399093,0.009610676390811769,0.00928233022605611,0.0,0.0,0.01723954798214855,0.0,0.0,0.0,0.0,0.0,0.013244450684198182,0.016721634978959996,0.009571866892843716,0.0,0.009951353084841831,0.0,0.013357211754143906,0.010619672528922814,0.0,0.018746200534904424,0.015846641761445693,0.02585791375378474,0.016721634978959996,0.01234141293936252,0.0050840379047263655,0.022389504590815124,0.0,0.012749301851774902,0.013716792566603407,0.011780341121665828,0.013545132485385974,0.010642703408535547,0.015846641761445693,0.015591717987618084,0.016721634978959996,0.0,0.0172992499834439,0.016414949207215274,0.016913956778563426,0.01808948295683688,0.011963651986352014,0.013303544004134707,0.004397076745573098,0.0038211295538518085,0.005075807778205286,0.007179239993318533,0.0,0.021639183226784597,0.03312802181480205
