,Translator,Work,atqui,aut,autem,certe,ceu,confestim,cum,dehinc,deinceps,demum,denique,enim,ergo,eciam,exinde,forsan,forsitan,fortassis,ideo,igitur,ita,itaque,iterum,mox,multotiens,nam,namque,nempe,nimirum,puta,quando,quemadmodum,quia,quidem,quippe,quod,quoniam,quoque,praecipue,rursum,rursus,sane,scilicet,saepe,sic,sicut,siquidem,tamquam,ut,utique,uelut,ueluti,uero,uidelicet
0,Bur,Com,0.0,0.698752065840132,2.7730862070892477,0.0,0.0,0.0,1.537820971268519,0.0,1.4207547136707839,0.0,1.1409611053194386,2.0823650577140156,0.0,0.5443185124846556,0.0,0.0,0.0,0.0,1.7381296906486283,0.8465254471036165,1.0001466702334374,0.8240642188545388,0.0,5.3171064101174155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6968516109295892,0.0,4.6097444386145465,0.0,1.6775399743894999,0.4910931044646889,0.0,0.0,0.0,1.7473584163112004,0.0,0.6950651625607481,0.0,0.0,0.0,0.0,0.0,1.1732155483844022,2.4605110022027774,0.7594814334897543,0.0,1.4092400107517902,0.0
1,Bur,Com,0.0,1.0720865811121227,2.5786130829585723,0.0,0.0,0.0,1.310810855244352,0.0,0.0,0.0,1.1670415973302557,2.2938079164397065,0.0,0.5567607373335222,0.0,0.0,0.0,0.0,1.7778604731436494,1.1545008330988569,1.3640111681890374,0.842900969884907,0.0,5.438646706805186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321549201180361,0.0,4.305105552819634,0.0,1.7158857757458417,0.6697582455122454,0.0,0.0,0.0,3.574600304555266,0.0,0.7109532075910715,0.0,0.0,0.0,0.0,0.0,0.8000222158995143,2.7963935910130484,0.7768419283972015,0.0,1.441452916757421,0.0
2,Bur,Com,0.0,1.1610320140174089,2.5132924471231033,0.0,0.0,0.0,1.4195619962722648,0.0,0.0,0.0,1.2638649527586363,2.661549854454083,0.4984996523263414,0.6029522723077085,0.0,0.0,0.0,0.0,1.9253602853928813,1.8754256200750223,1.1078820463142696,0.9128320677864653,0.0,2.9449314312753194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.510064201752901,0.0,3.9962380373335824,0.0,1.8582438705383513,0.9066557430991237,0.0,0.0,0.0,3.871166250956925,0.0,1.539874575475675,0.0,0.0,0.0,1.1948457473906293,0.0,1.0829948589844125,2.1198770492154786,1.6825849042239671,0.0,1.214144359831923,0.0
3,Bur,Com,0.0,1.579186957176282,2.4055933596884884,0.0,0.0,0.0,0.7723314300901518,0.0,0.0,0.0,1.1460373328394884,3.0569972055660264,0.9040510391976905,0.0,0.0,0.0,0.0,0.0,1.7458627691277724,1.4171528445861847,1.0045964030313872,0.8277305466956325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1218852573829183,0.0,4.42893818931383,0.0,1.425772179072715,0.8221300284947111,0.0,0.0,0.0,3.51026510826285,0.0,1.3963151264963527,0.0,0.0,0.0,1.0834526509381484,0.0,0.785623519006718,2.7460644590092786,0.7628604273359715,0.0,0.7863943514730967,0.0
4,Bur,Com,0.0,1.8418882277464563,2.7789197116866338,0.0,0.0,0.0,1.719729107971466,0.0,0.0,0.0,0.0,2.7637165160046604,0.862725227590797,0.0,0.0,0.0,0.0,0.0,1.6660562175502271,1.3523722194507763,1.278232640805034,0.7898934831329694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0124450181606026,0.0,4.226483397167813,0.0,1.1132161760743062,0.6276391798160237,0.0,0.0,0.0,2.2332030185063303,0.0,0.6662435156117432,0.0,0.0,0.0,1.033926066490665,0.0,1.4994224879985847,2.620536875307682,0.727988694507238,0.0,0.4502681041898929,0.0
5,Bur,Com,0.0,1.4413796448820921,3.004600945402413,0.0,0.0,0.0,1.6448463309195713,0.0,0.0,0.0,0.0,2.3496666874802874,0.825159275735199,0.0,0.0,0.0,3.4215099366584107,0.0,1.5935105382822303,1.03478831538767,1.2225741016675749,0.0,0.0,0.0,0.0,0.0,0.0,1.5890537546992058,0.0,0.0,0.0,0.9683597641396073,0.0,4.226195767347461,0.0,0.7098286717555595,0.7503870793344776,0.0,0.0,0.0,2.135961864087723,0.0,0.6372330369203211,0.0,0.0,0.0,0.9889054555314841,0.0,1.7926657507064834,3.50900186673186,0.696289623499835,0.0,0.43066191976041457,0.0
6,Bur,Com,0.0,1.2369860318113544,2.9008530754232726,0.0,0.0,0.0,1.36118600135985,0.0,0.0,0.0,0.0,2.4103168217615543,0.7966668007587621,0.0,0.0,0.0,3.303366338060418,0.0,1.5384871501051516,0.7492930646158626,1.1803590251084866,0.0,0.0,0.0,0.0,0.0,0.0,1.534184257774942,0.9297973242818077,0.0,0.0,0.4674613119953455,0.2732175074475266,4.6124753265352,0.0,0.4568790160828829,0.724476463397294,0.0,0.0,0.0,1.0311039061454863,0.0,0.6152295923823751,0.0,0.0,0.0,0.9547588795014343,0.0,1.903842159309122,3.3878372009271303,0.6722469746957656,0.0,0.6929855118344006,0.0
7,Bur,Com,0.0,1.6973331338450257,3.11752548028739,0.0,0.0,0.0,1.3583668350583504,0.0,0.0,0.0,0.0,2.2638350963269924,0.3975084079845213,0.0,0.0,0.0,3.296524702124943,0.0,0.0,0.7477411960574128,1.472392964267363,0.0,0.0,0.0,0.0,0.0,0.0,1.531006793008562,0.9278716114980872,0.0,0.0,0.4664931480730633,0.2726516438629714,3.717745000469963,0.0,0.11398319231557599,1.0121663898589568,0.0,0.0,0.0,0.5144841881300217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5907714894562637,3.3808206165203853,0.0,0.0,0.6915502624265758,0.0
8,Bur,Com,0.0,1.2048724272965157,3.1515677900717365,0.0,0.0,0.0,1.1048733502800756,0.0,0.0,0.0,0.0,2.0715372152468667,0.0,0.46928975198898704,0.0,0.0,3.217607083372018,0.0,0.0,1.2164009001219407,1.4371444049182884,0.0,0.0,0.0,0.0,0.0,0.0,1.4943550396269156,0.9056586979893041,0.0,0.43785361496175124,0.0,0.2661244613216525,3.801540829309006,0.0,0.5562723779129318,1.1290691309676024,0.0,0.0,0.0,0.5021676212354733,0.0,0.0,0.0,0.7419935335532235,0.0,0.0,0.0,2.865915929352065,3.064178913544987,0.0,0.0,0.8099937566821941,0.0
9,Bur,Com,0.0,1.1433766189470356,2.946516327841067,0.0,0.0,0.0,0.23965289640164897,0.0,0.0,0.0,0.0,2.096861300638729,0.0,0.5089571953530372,0.0,0.0,3.4895803071777265,0.0,0.0,1.3192190707916875,0.9351727573991687,0.0,0.0,0.0,0.0,0.0,0.0,1.6206677145765591,1.9644218051730935,0.0,0.4748638701391273,0.49381256020917463,0.2886190437252179,4.310275228490708,0.0,0.8446090274952446,1.2245054485452462,0.0,0.0,0.0,1.6338423523071772,0.0,0.0,0.0,0.8047116865577765,0.0,0.0,0.0,2.3768296985467487,2.8119244014972464,0.0,0.0,1.3176896008506311,0.0
